id,kategori,namn,gatuadress,postnummer,stad,koordinat_east,koordinat_north,Stadsdel
10171,förskola,Raoul Wallenbergförskolan Mariehäll,Bällstavägen 8,16865,Bromma,17.9599411,59.3602189,Mariehäll
9507,förskola,Raoul Wallenbergs Förskola,Beckombergavägen 314,16861,Bromma,17.9038125,59.3564858,Eneby
9893,förskola,Regnbågen Slättgårdsvägen 72,Slättgårdsvägen 72,12942,Hägersten,17.95082,59.2918329,Mälarhöjden
7423,förskola,Rödkulla,Långängsvägen 56,12556,Älvsjö,17.9701129,59.2743741,Älvsjö
7051,förskola,Rönneberga,Vattenledningsvägen 24 A och B,12633,Hägersten,150612.0,6576477.0,N/A
10501,förskola,Sagoberget,Kilsbergsvägen 9,16736,Bromma,17.9784143,59.3387127,Traneberg
8681,förskola,Sjöberget,Torsten Alms gata 86,12651,Hägersten,17.9858859,59.3091416,Aspudden
6969,förskola,Sjöstjärnan Rävsnäsvägen 77–79,Rävsnäsvägen 77–79,12570,Älvsjö,18.0280004,59.2797296,Örby slott
10611,förskola,Skatboet,Valutavägen 90,12934,Hägersten,17.9789564,59.2982158,Hägerstensåsen
10300,förskola,Skattkistan Sandalettgatan 9,Sandalettgatan 9,12547,Älvsjö,18.0074888,59.2818584,Älvsjö
6798,förskola,Smeden,Klensmedsvägen 10,12638,Hägersten,17.9966457,59.295562,Västberga
10684,förskola,Snabelskon,Sulvägen 62,12640,Hägersten,18.0098802,59.2843302,Solberga
8798,förskola,Snöbollen,Snöbollsgränd 3,12945,Hägersten,17.9615966,59.291182,Västertorp
8765,förskola,Snöripan,Snöripsvägen 34,12556,Älvsjö,17.9775492,59.2729324,Långsjö
10062,förskola,Solgårdens Waldorfförskola,Marklandsbacken 11,16836,Bromma,17.9387975,59.3359775,Åkeslund
10293,förskola,Solkatten,Midsommarvägen 20,12635,Hägersten,18.008139,59.3001162,Midsommarkransen
6815,förskola,Solkatten Medaljonggatan 10–14,Medaljonggatan 10–14,12641,Hägersten,17.9980649,59.2832262,Solberga
6763,förskola,Solstrålen Hägerstensvägen 179,Hägerstensvägen 179,12653,Hägersten,17.9899728,59.3048255,Aspudden
8805,förskola,Solängen,Solberga Ängsväg 4–6,12544,Älvsjö,18.0130976,59.2814997,Älvsjö
9896,förskola,SPIRA Förskolor Bromma,Tunnlandsvägen 91 A,16836,Bromma,17.9393558,59.3366239,Bromma
7054,förskola,Svandammsgården,Cedergrensvägen 5–7,12636,Hägersten,18.000362,59.3018124,Midsommarkransen
8541,förskola,Svanens förskola vid Telefonplan,Flygelgatan 1,12628,Hägersten,18.0008673,59.2983557,Västberga
7112,förskola,Sylvester,Sylvestergatan 2–6,12571,Älvsjö,18.0306373,59.2852172,Älvsjö
10210,förskola,Tellusbarn Pusslet,Mockasinvägen 24,12639,Hägersten,18.0156527,59.2836864,Solberga
8616,förskola,Toppen,Persmässgränd 16,12944,Hägersten,17.956764,59.2956123,Mälarhöjden
9344,förskola,Torngårdens Waldorfförskola,Drachmannsgatan 3,16849,Bromma,17.8883724,59.345625,Blackeberg
9483,förskola,"Treklövern, Stamgatan 2 A",Stamgatan 2 A,12574,Älvsjö,18.0413923,59.2840519,Östberga
6661,förskola,Trollsländan,Sulvägen 22,12640,Hägersten,18.004748,59.2864905,Solberga
10288,förskola,Tryggis,Doktor Abrahams väg 29,16859,Bromma,17.912345,59.3602436,Eneby
8772,förskola,Vasan,Vasaloppsvägen 110,12945,Hägersten,17.9611069,59.2922218,Västertorp
8457,förskola,"Vi som växer, Förskolan Vansö",Vansövägen 4,12540,Älvsjö,18.034312,59.2732527,Älvsjö
8688,förskola,Viveln,Vivelvägen 40,12533,Älvsjö,17.9906706,59.2777684,Älvsjö
8695,förskola,Vågavilja,Gårdstigen 1,12552,Älvsjö,17.974448,59.2661402,Långsjö
9240,förskola,Ålstens Montessoriförskola,Bågvägen 42,16765,Bromma,17.9519888,59.3188933,Ålsten
8628,förskola,Åsen,Sedelvägen 2B,12932,Hägersten,17.985313,59.297199,Hägerstensåsen
10557,förskola,Älvens Förskola,Älvsjö gårdsväg 3–9,12542,Älvsjö,18.0113096,59.2769127,Liseberg
9639,förskola,Älvsjö förskola,Långbrodalsvägen 1,12532,Älvsjö,18.0021474,59.2795055,Liseberg
7834,förskola,Älvsjöbarnen,Murgrönsvägen 17,12555,Älvsjö,17.9679808,59.2767256,Älvsjö
6792,förskola,Älvskogen,Långsjövägen 33,12530,Älvsjö,17.9974537,59.2742031,Långsjö
9546,förskola,Ängbygården – Ängbybarnens förskolor,Vultejusvägen 63–67,16866,Bromma,17.9088371,59.3437417,Norra Ängby
7121,förskola,Äppelängen,Täckhammarsvägen 21,12571,Älvsjö,18.0355227,59.2816742,Östberga
